Date,EFA,EEM,GLD,IYR
2014-12-20,1.0,-2.0,-2.0,2.0
2014-12-27,2.0,1.0,-1.0,2.0
2015-01-03,2.0,1.0,-1.0,1.0
2015-01-10,2.0,1.0,2.0,1.0
2015-01-17,1.0,-1.0,-1.0,2.0
2015-01-24,1.0,1.0,-1.0,2.0
2015-01-31,2.0,-1.0,-2.0,-2.0
2015-02-07,2.0,2.0,-1.0,1.0
2015-02-14,1.0,-1.0,1.0,1.0
2015-02-21,1.0,1.0,1.0,1.0
2015-02-28,2.0,1.0,-2.0,2.0
2015-03-07,-1.0,-1.0,-1.0,1.0
2015-03-14,-2.0,-2.0,-2.0,2.0
2015-03-21,1.0,2.0,-1.0,2.0
2015-03-28,1.0,1.0,1.0,1.0
2015-04-04,1.0,-1.0,-1.0,1.0
2015-04-11,1.0,-1.0,-1.0,-1.0
2015-04-18,-2.0,-1.0,-2.0,-1.0
2015-04-25,-1.0,-1.0,-2.0,-2.0
2015-05-02,1.0,-1.0,1.0,2.0
2015-05-09,-1.0,-1.0,-2.0,1.0
2015-05-16,-1.0,-1.0,-1.0,1.0
2015-05-23,-1.0,1.0,-1.0,1.0
2015-05-30,-2.0,-2.0,-2.0,2.0
2015-06-06,-1.0,2.0,1.0,1.0
2015-06-13,-1.0,-1.0,1.0,2.0
2015-06-20,-1.0,-2.0,-1.0,2.0
2015-06-27,-2.0,2.0,-1.0,1.0
2015-07-04,-2.0,-2.0,-1.0,1.0
2015-07-11,2.0,-2.0,2.0,1.0
2015-07-18,2.0,-2.0,2.0,2.0
2015-07-25,2.0,1.0,1.0,1.0
2015-08-01,1.0,-1.0,1.0,2.0
2015-08-08,2.0,-2.0,-2.0,1.0
2015-08-15,2.0,2.0,-2.0,-2.0
2015-08-22,2.0,2.0,2.0,2.0
2015-08-29,2.0,2.0,1.0,-2.0
2015-09-05,-2.0,-2.0,1.0,-2.0
2015-09-12,-2.0,-2.0,-2.0,-1.0
2015-09-19,2.0,1.0,-1.0,1.0
2015-09-26,2.0,1.0,-1.0,1.0
2015-10-03,2.0,-2.0,-1.0,1.0
2015-10-10,1.0,-2.0,1.0,1.0
2015-10-17,1.0,-1.0,1.0,1.0
2015-10-24,2.0,-1.0,-2.0,2.0
2015-10-31,1.0,1.0,2.0,-2.0
2015-11-07,2.0,2.0,-1.0,-2.0
2015-11-14,-2.0,2.0,-1.0,1.0
2015-11-21,-1.0,-1.0,1.0,1.0
2015-11-28,-2.0,-1.0,2.0,-2.0
2015-12-05,2.0,-2.0,-1.0,-2.0
2015-12-12,-1.0,1.0,-1.0,-1.0
2015-12-19,-2.0,-2.0,-1.0,2.0
2015-12-26,2.0,-1.0,-1.0,1.0
2016-01-02,2.0,2.0,-2.0,2.0
2016-01-09,-2.0,-2.0,-2.0,2.0
2016-01-16,1.0,2.0,-1.0,2.0
2016-01-23,-2.0,-1.0,1.0,1.0
2016-01-30,2.0,-2.0,-2.0,-2.0
2016-02-06,2.0,1.0,-2.0,1.0
2016-02-13,2.0,2.0,-1.0,2.0
2016-02-20,-1.0,-1.0,-1.0,2.0
2016-02-27,2.0,-2.0,2.0,-2.0
2016-03-05,2.0,-1.0,-1.0,-2.0
2016-03-12,1.0,-1.0,-1.0,1.0
2016-03-19,1.0,-1.0,-2.0,1.0
2016-03-26,-1.0,-1.0,-1.0,-2.0
2016-04-02,-1.0,-1.0,-1.0,1.0
2016-04-09,2.0,2.0,1.0,1.0
2016-04-16,1.0,-1.0,-1.0,-2.0
2016-04-23,2.0,-1.0,-2.0,2.0
2016-04-30,-2.0,2.0,-1.0,2.0
2016-05-07,-1.0,-1.0,-1.0,1.0
2016-05-14,1.0,1.0,-2.0,2.0
2016-05-21,2.0,-2.0,-2.0,-1.0
2016-05-28,-1.0,-1.0,-2.0,1.0
2016-06-04,2.0,2.0,-1.0,-1.0
2016-06-11,1.0,2.0,-1.0,-1.0
2016-06-18,-2.0,2.0,-2.0,-2.0
2016-06-25,2.0,2.0,-1.0,2.0
2016-07-02,1.0,1.0,-1.0,1.0
2016-07-09,1.0,-1.0,2.0,1.0
2016-07-16,-1.0,-1.0,-1.0,-1.0
2016-07-23,-1.0,-1.0,-2.0,2.0
2016-07-30,-1.0,-1.0,-1.0,1.0
2016-08-06,-1.0,-2.0,-1.0,-1.0
2016-08-13,-1.0,-1.0,-1.0,-1.0
2016-08-20,-2.0,-1.0,-1.0,-1.0
2016-08-27,-1.0,-1.0,-1.0,-1.0
2016-09-03,2.0,-2.0,-1.0,-2.0
2016-09-10,1.0,1.0,-1.0,-1.0
2016-09-17,-2.0,-2.0,-2.0,-2.0
2016-09-24,-1.0,-1.0,-1.0,1.0
2016-10-01,1.0,1.0,2.0,-2.0
2016-10-08,-2.0,-2.0,-1.0,-1.0
2016-10-15,-1.0,-1.0,1.0,1.0
2016-10-22,-1.0,-1.0,-1.0,2.0
2016-10-29,-2.0,2.0,-2.0,-2.0
2016-11-05,2.0,-2.0,-2.0,-2.0
2016-11-12,1.0,1.0,-1.0,-1.0
2016-11-19,-1.0,1.0,-1.0,-1.0
2016-11-26,-1.0,-1.0,1.0,1.0
2016-12-03,-2.0,-2.0,1.0,2.0
2016-12-10,-1.0,-2.0,-2.0,-1.0
2016-12-17,-1.0,-1.0,-1.0,-2.0
2016-12-24,-1.0,-1.0,-1.0,-1.0
2016-12-31,2.0,-2.0,-2.0,1.0
2017-01-07,-1.0,-1.0,-1.0,-1.0
2017-01-14,-1.0,-1.0,-1.0,-1.0
2017-01-21,-2.0,-2.0,-2.0,-2.0
2017-01-28,-1.0,-1.0,1.0,-1.0
2017-02-04,-1.0,-1.0,-1.0,-1.0
2017-02-11,-1.0,-1.0,-1.0,1.0
2017-02-18,-1.0,-1.0,-2.0,-1.0
2017-02-25,-1.0,-1.0,-2.0,-2.0
2017-03-04,-1.0,-1.0,-1.0,-2.0
2017-03-11,-2.0,-2.0,-1.0,1.0
2017-03-18,-1.0,-1.0,-1.0,1.0
2017-03-25,-2.0,-2.0,-1.0,-1.0
2017-04-01,-1.0,-1.0,-1.0,-1.0
2017-04-08,-1.0,-1.0,-2.0,-1.0
2017-04-15,-1.0,-1.0,-1.0,-1.0
2017-04-22,-2.0,-2.0,-1.0,2.0
2017-04-29,-2.0,-2.0,-2.0,-2.0
2017-05-06,-1.0,-2.0,-1.0,-1.0
2017-05-13,-1.0,-2.0,-2.0,2.0
2017-05-20,-1.0,-1.0,-1.0,-1.0
2017-05-27,-2.0,-1.0,-1.0,-1.0
2017-06-03,-1.0,-1.0,-2.0,-1.0
2017-06-10,-1.0,-2.0,-1.0,-1.0
2017-06-17,-1.0,-2.0,-1.0,-1.0
2017-06-24,-1.0,-1.0,-1.0,-2.0
2017-07-01,-1.0,-1.0,-2.0,-2.0
2017-07-08,-2.0,-2.0,2.0,-2.0
2017-07-15,-1.0,-1.0,-1.0,-1.0
2017-07-22,-1.0,-1.0,-1.0,-1.0
2017-07-29,-1.0,-1.0,-1.0,-1.0
2017-08-05,-2.0,-2.0,-2.0,-2.0
2017-08-12,-1.0,-1.0,-2.0,-2.0
2017-08-19,-1.0,-1.0,-1.0,-2.0
2017-08-26,-1.0,-1.0,-2.0,-1.0
2017-09-02,-1.0,-1.0,-1.0,-1.0
2017-09-09,-1.0,-1.0,-1.0,-1.0
2017-09-16,-1.0,-1.0,-2.0,-1.0
2017-09-23,-1.0,-1.0,-2.0,-1.0
2017-09-30,-1.0,-2.0,-1.0,-1.0
2017-10-07,-2.0,-2.0,-1.0,-1.0
2017-10-14,-1.0,-1.0,-1.0,-1.0
2017-10-21,-1.0,-1.0,-1.0,-2.0
2017-10-28,-1.0,-1.0,-1.0,-1.0
2017-11-04,-1.0,-1.0,-1.0,-2.0
